date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:20	921832/921832	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e10e8-5862877ad453a%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareR.eot?	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareRd41d.eot	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:22	916220/916220	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dfafc-5862877a98c1a%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareB.eot	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareB.eot	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:22	241/241	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jun%202019%2014:10:19%20GMT	http://ssdent.net/layouts/samsung_main/images/logo1x_gray.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/logo1x_gray.59.delayed	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:23	14366/14366	---M--	200	added ('OK')	image/png	etag:%22381e-5862877c9879a%22	http://ssdent.net/layouts/samsung_main/images/logo1x.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/logo1x.png	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:23	2236/2236	---M--	200	added ('OK')	image/png	etag:%228bc-5862877e09dc2%22	http://ssdent.net/layouts/samsung_main/images/topbtn.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/topbtn.png	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:23	949/949	---M--	200	added ('OK')	image/png	etag:%223b5-5862877c7d602%22	http://ssdent.net/layouts/samsung_main/images/header_bg.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/header_bg.png	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:23	241/241	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jun%202019%2014:10:20%20GMT	http://ssdent.net/layouts/samsung_main/images/header_left.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/header_left.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:23	242/242	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jun%202019%2014:10:20%20GMT	http://ssdent.net/layouts/samsung_main/images/header_right.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/header_right.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:13	916220/916220	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22dfafc-5862877a98c1a%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareB.eot?	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareBd41d.eot	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:13	335004/335004	---M--	200	added ('OK')	application/x-font-woff	etag:%2251c9c-5862877aae3da%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareB.woff	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareB.woff	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:14	2785/2785	---M--	200	added ('OK')	image/png	etag:%22ae1-5862877c9220a%22	http://ssdent.net/layouts/samsung_main/images/ctrls.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/ctrls.png	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:17	329969/329969	---M--	200	added ('OK')	image/jpeg	etag:%22508f1-5862877d9a882%22	http://ssdent.net/layouts/samsung_main/images/main_visual01_bg.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/main_visual01_bg.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:17	241/241	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jun%202019%2014:11:14%20GMT	http://ssdent.net/layouts/samsung_main/images/widget_off2.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/widget_off2.63.delayed	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:17	59/59	---M--	200	added ('OK')	image/gif	etag:%223b-5824ccc525648%22	http://ssdent.net/modules/editor/styles/ckeditor_light/img/bg_qmark.gif	D:/Work/Homepage/sanbon_samsung/ssdent.net/modules/editor/styles/ckeditor_light/img/bg_qmark.gif	(from http://ssdent.net/modules/editor/styles/ckeditor_light/style.css?20190220143921)
23:11:37	187762/187762	---M--	200	added ('OK')	image/jpeg	etag:%222dd72-5862877df55a2%22	http://ssdent.net/layouts/samsung_main/images/main_visual03_bg.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/main_visual03_bg.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:40	530296/530296	---M--	200	added ('OK')	image/jpeg	etag:%2281778-5862877dc9e52%22	http://ssdent.net/layouts/samsung_main/images/main_visual02_bg.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/main_visual02_bg.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:11:44	322831/322831	---M--	200	added ('OK')	image/jpeg	etag:%224ed0f-5862877d57a32%22	http://ssdent.net/layouts/samsung_main/images/main_section05_bg.jpg	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/main_section05_bg.jpg	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
